HMDB	name	chemical_formula	average_molecular_weight	kegg_id
HMDB0000399	3a,6b,7a,12a-Tetrahydroxy-5b-cholanoic acid	C24H40O6	424.5708	C01094
HMDB0000400	3,7-Dihydroxy-12-oxocholanoic acid	C24H38O5	406.5555	
HMDB0000401	2,8-Dihydroxyadenine	C5H5N5O2	167.1255	
HMDB0000402	2-Isopropylmalic acid	C7H12O5	176.1672	C02504
HMDB0000403	2-Hydroxyadenine	C5H5N5O	151.1261	
HMDB0000404	2b,3a,7a-Trihydroxy-5b-cholanoic acid	C24H40O5	408.5714	
HMDB0000405	2-Methoxyestradiol	C19H26O3	302.4079	C05302
HMDB0000406	16-Ketoestradiol	C18H22O3	286.3655	C14383
HMDB0000407	2-Hydroxy-3-methylbutyric acid	C5H10O3	118.1311	
HMDB0000408	2-Methyl-3-ketovaleric acid	C6H10O3	130.1418	
HMDB0000409	(5R)-5-Hydroxyhexanoic acid	C6H12O3	132.1577	
HMDB0000410	3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid	C5H10O3	118.1311	
HMDB0000411	3a,12b-Dihydroxy-5b-cholanoic acid	C24H40O4	392.572	C17646
HMDB0000412	3beta,17alpha-Dihydroxy-5alpha-androstane	C19H32O2	292.4562	
HMDB0000413	3-Hydroxydodecanedioic acid	C12H22O5	246.3001	
HMDB0000414	1b,3a,7a-Trihydroxy-5b-cholanoic acid	C24H40O5	408.5714	
HMDB0000415	3a,6b,7b-Trihydroxy-5b-cholanoic acid	C24H40O5	408.5714	C17726
HMDB0000416	17-Hydroxypregnenolone sulfate	C21H32O6S	412.54	
HMDB0000417	3D,7D,11D-Phytanic acid	C20H40O2	312.5304	
HMDB0000418	18-Hydroxycortisol	C21H30O6	378.4593	
HMDB0000419	3b,7a,12a-Trihydroxy-5b-cholanoic acid	C24H40O5	408.5714	
HMDB0000421	2,3-Dihydroxyvaleric acid	C5H10O4	134.1305	
HMDB0000422	2-Methylglutaric acid	C6H10O4	146.1412	
HMDB0000423	3,4-Dihydroxyhydrocinnamic acid	C9H10O4	182.1733	C10447
HMDB0000424	2-Hydroxydecanedioic acid	C10H18O5	218.2469	
