HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0090742,CL(i-14:0/a-13:0/i-14:0/i-14:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,NGNCHHPRQWMGQV-QUCVKXQRSA-N,C64H124O17P2,1227.627,1226.831376529
HMDB0090743,CL(i-14:0/a-13:0/i-14:0/a-15:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,NTIWGBLUSUUUJY-XRMFVLILSA-N,C65H126O17P2,1241.654,1240.847026593
HMDB0090744,CL(i-14:0/i-13:0/i-14:0/i-15:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,ODMZGZSCCJYVCW-QBCHDFTKSA-N,C65H126O17P2,1241.654,1240.847026593
HMDB0090745,CL(i-14:0/a-13:0/i-14:0/i-15:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,HHZHKKHWQFUEQA-BZUVKMRISA-N,C65H126O17P2,1241.654,1240.847026593
HMDB0090746,CL(i-14:0/i-13:0/i-14:0/a-15:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,GXRVFSNUFORFCN-BZUVKMRISA-N,C65H126O17P2,1241.654,1240.847026593
HMDB0090747,CL(i-14:0/i-13:0/i-14:0/i-16:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,XWHTURXJWPIKDC-DLAFNDBQSA-N,C66H128O17P2,1255.681,1254.862676658
HMDB0090748,CL(i-14:0/a-13:0/i-14:0/i-16:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,YDGJMEFPLMFHKP-IVKGCWJXSA-N,C66H128O17P2,1255.681,1254.862676658
HMDB0090749,CL(i-14:0/a-13:0/i-14:0/a-17:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,KGAABHDABGVVCP-XIWPVXGTSA-N,C67H130O17P2,1269.708,1268.878326722
HMDB0090750,CL(i-14:0/i-13:0/i-14:0/i-17:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,TYLSZEHXTXVMCK-PCIYNCTBSA-N,C67H130O17P2,1269.708,1268.878326722
HMDB0090751,CL(i-14:0/a-13:0/i-14:0/i-17:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,HHUVLCHHUMNZBN-DPVUWJHFSA-N,C67H130O17P2,1269.708,1268.878326722
