HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0000253,Pregnenolone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,ORNBQBCIOKFOEO-QGVNFLHTSA-N,C21H32O2,316.4776,316.240230268
HMDB0000254,Succinic acid,OC(=O)CCC(O)=O,KDYFGRWQOYBRFD-UHFFFAOYSA-N,C4H6O4,118.088,118.02660868
HMDB0000259,Serotonin,NCCC1=CNC2=C1C=C(O)C=C2,QZAYGJVTTNCVMB-UHFFFAOYSA-N,C10H12N2O,176.2151,176.094963016
HMDB0000262,Thymine,CC1=CNC(=O)NC1=O,RWQNBRDOKXIBIV-UHFFFAOYSA-N,C5H6N2O2,126.1133,126.042927446
HMDB0000267,Pyroglutamic acid,OC(=O)[C@@H]1CCC(=O)N1,ODHCTXKNWHHXJC-VKHMYHEASA-N,C5H7NO3,129.114,129.042593095
HMDB0000271,Sarcosine,CNCC(O)=O,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,C3H7NO2,89.0932,89.047678473
HMDB0000272,Phosphoserine,N[C@@H](COP(O)(O)=O)C(O)=O,BZQFBWGGLXLEPQ-REOHCLBHSA-N,C3H8NO6P,185.0725,185.008923505
HMDB0000273,Thymidine,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,IQFYYKKMVGJFEH-XLPZGREQSA-N,C10H14N2O5,242.2286,242.090271568
HMDB0000283,D-Ribose,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,HMFHBZSHGGEWLO-SOOFDHNKSA-N,C5H10O5,150.1299,150.05282343
HMDB0000289,Uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2,LEHOTFFKMJEONL-UHFFFAOYSA-N,C5H4N4O3,168.1103,168.028340014
HMDB0000292,Xanthine,O=C1NC2=C(NC=N2)C(=O)N1,LRFVTYWOQMYALW-UHFFFAOYSA-N,C5H4N4O2,152.1109,152.033425392
HMDB0000294,Urea,NC(N)=O,XSQUKJJJFZCRTK-UHFFFAOYSA-N,CH4N2O,60.0553,60.03236276
HMDB0000296,Uridine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,DRTQHJPVMGBUCF-XVFCMESISA-N,C9H12N2O6,244.2014,244.069536126
HMDB0000300,Uracil,O=C1NC=CC(=O)N1,ISAKRJDGNUQOIC-UHFFFAOYSA-N,C4H4N2O2,112.0868,112.027277382
HMDB0000317,2-Hydroxy-3-methylpentanoic acid,CC[C@@H](C)[C@@H](O)C(O)=O,RILPIWOPNGRASR-RFZPGFLSSA-N,C6H12O3,132.1577,132.07864425
HMDB0000318,"3,4-Dihydroxyphenylglycol",OCC(O)C1=CC(O)=C(O)C=C1,MTVWFVDWRVYDOR-UHFFFAOYSA-N,C8H10O4,170.1626,170.057908808
HMDB0000336,(R)-3-Hydroxyisobutyric acid,C[C@H](CO)C(O)=O,DBXBTMSZEOQQDU-GSVOUGTGSA-N,C4H8O3,104.1045,104.047344122
HMDB0000337,"(S)-3,4-Dihydroxybutyric acid",OCC(O)CC(O)=O,DZAIOXUZHHTJKN-UHFFFAOYSA-N,C4H8O4,120.1039,120.042258744
HMDB0000360,"2,4-Dihydroxybutanoic acid",OCCC(O)C(O)=O,UFYGCFHQAXXBCF-UHFFFAOYSA-N,C4H8O4,120.1039,120.042258744
HMDB0000379,2-Methylcitric acid,CC(C(O)=O)C(O)(CC(O)=O)C(O)=O,YNOXCRMFGMSKIJ-UHFFFAOYSA-N,C7H10O7,206.1501,206.042652674
HMDB0000407,2-Hydroxy-3-methylbutyric acid,CC(C)C(O)C(O)=O,NGEWQZIDQIYUNV-UHFFFAOYSA-N,C5H10O3,118.1311,118.062994186
HMDB0000428,3-Hydroxyglutaric acid,OC(CC(O)=O)CC(O)=O,ZQHYXNSQOIDNTL-UHFFFAOYSA-N,C5H8O5,148.114,148.037173366
HMDB0000440,3-Hydroxyphenylacetic acid,OC(=O)CC1=CC(O)=CC=C1,FVMDYYGIDFPZAX-UHFFFAOYSA-N,C8H8O3,152.1473,152.047344122
HMDB0000448,Adipic acid,OC(=O)CCCCC(O)=O,WNLRTRBMVRJNCN-UHFFFAOYSA-N,C6H10O4,146.1412,146.057908808
HMDB0000450,5-Hydroxylysine,NC[C@H](O)CC[C@H](N)C(O)=O,YSMODUONRAFBET-UHNVWZDZSA-N,C6H14N2O3,162.187,162.100442324
HMDB0000452,L-alpha-Aminobutyric acid,CC[C@H](N)C(O)=O,QWCKQJZIFLGMSD-VKHMYHEASA-N,C4H9NO2,103.1198,103.063328537
HMDB0000462,Allantoin,NC(=O)NC1NC(=O)NC1=O,POJWUDADGALRAB-UHFFFAOYSA-N,C4H6N4O3,158.1154,158.043990078
HMDB0000464,Calcium,[Ca++],BHPQYMZQTOCNFJ-UHFFFAOYSA-N,Ca,40.078,39.962591155
HMDB0000468,Biopterin,C[C@H](O)[C@H](O)C1=CNC2=NC(N)=NC(=O)C2=N1,LHQIJBMDNUYRAM-DZSWIPIPSA-N,C9H11N5O3,237.2153,237.086189243
HMDB0000472,5-Hydroxy-L-tryptophan,N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O,LDCYZAJDBXYCGN-VIFPVBQESA-N,C11H12N2O3,220.2246,220.08479226
HMDB0000479,Methylhistidine,[H][C@](N)(CC1=CN=CN1C)C(O)=O,JDHILDINMRGULE-LURJTMIESA-N,C7H11N3O2,169.1811,169.085126611
HMDB0000482,Caprylic acid,CCCCCCCC(O)=O,WWZKQHOCKIZLMA-UHFFFAOYSA-N,C8H16O2,144.2114,144.115029756
HMDB0000491,3-Methyl-2-oxovaleric acid,CC[C@H](C)C(=O)C(O)=O,JVQYSWDUAOAHFM-BYPYZUCNSA-N,C6H10O3,130.1418,130.062994186
HMDB0000492,Chloride ion,[Cl-],VEXZGXHMUGYJMC-UHFFFAOYSA-M,Cl,35.453,34.968852707
HMDB0000500,4-Hydroxybenzoic acid,OC(=O)C1=CC=C(O)C=C1,FJKROLUGYXJWQN-UHFFFAOYSA-N,C7H6O3,138.122,138.031694053
HMDB0000501,7-Ketocholesterol,[H][C@@]12CCC([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C=C2CC(O)CC[C@]12C,YIKKMWSQVKJCOP-QJFKPLHKSA-N,C27H44O2,400.6371,400.334130652
HMDB0000508,Ribitol,OC[C@H](O)[C@H](O)[C@H](O)CO,HEBKCHPVOIAQTA-ZXFHETKHSA-N,C5H12O5,152.1458,152.068473494
HMDB0000517,L-Arginine,N[C@@H](CCCNC(N)=N)C(O)=O,ODKSFYDXXFIFQN-BYPYZUCNSA-N,C6H14N4O2,174.201,174.111675712
HMDB0000522,3-Methylglutaconic acid,C\C(CC(O)=O)=C/C(O)=O,WKRBKYFIJPGYQC-DUXPYHPUSA-N,C6H8O4,144.1253,144.042258744
HMDB0000531,3-Hydroxyvaleric acid,CCC(O)CC(O)=O,REKYPYSUBKSCAT-UHFFFAOYSA-N,C5H10O3,118.1311,118.062994186
HMDB0000535,Caproic acid,CCCCCC(O)=O,FUZZWVXGSFPDMH-UHFFFAOYSA-N,C6H12O2,116.1583,116.083729628
