HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0000212,N-Acetylgalactosamine,CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,OVRNDRQMDRJTHS-CBQIKETKSA-N,C8H15NO6,221.2078,221.089937217
HMDB0000213,myo-Inositol 1-phosphate,O[C@H]1[C@H](O)[C@@H](O)[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O,INAPMGSXUVUWAF-UOTPTPDRSA-N,C6H13O9P,260.135,260.029718997
HMDB0000214,Ornithine,NCCC[C@H](N)C(O)=O,AHLPHDHHMVZTML-BYPYZUCNSA-N,C5H12N2O2,132.161,132.089877638
HMDB0000215,N-Acetyl-D-glucosamine,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,OVRNDRQMDRJTHS-RTRLPJTCSA-N,C8H15NO6,221.2078,221.089937217
HMDB0000220,Palmitic acid,CCCCCCCCCCCCCCCC(O)=O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,C16H32O2,256.4241,256.240230268
HMDB0000222,Palmitoylcarnitine,CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,XOMRRQXKHMYMOC-OAQYLSRUSA-O,C23H46NO4,400.623,400.342135385
HMDB0000224,O-Phosphoethanolamine,NCCOP(O)(O)=O,SUHOOTKUPISOBE-UHFFFAOYSA-N,C2H8NO4P,141.063,141.019094261
HMDB0000226,Orotic acid,OC(=O)C1=CC(=O)NC(=O)N1,PXQPEWDEAKTCGB-UHFFFAOYSA-N,C5H4N2O4,156.0963,156.017106626
HMDB0000227,Mevalonic acid,C[C@@](O)(CCO)CC(O)=O,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,C6H12O4,148.1571,148.073558872
HMDB0000228,Phenol,OC1=CC=CC=C1,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,C6H6O,94.1112,94.041864814
HMDB0000230,N-Acetylneuraminic acid,[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,SQVRNKJHWKZAKO-PFQGKNLYSA-N,C11H19NO9,309.2699,309.105981211
HMDB0000234,Testosterone,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,C19H28O2,288.4244,288.20893014
HMDB0000235,Thiamine,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,JZRWCGZRTZMZEH-UHFFFAOYSA-N,C12H17N4OS,265.355,265.112306876
HMDB0000237,Propionic acid,CCC(O)=O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,C3H6O2,74.0785,74.036779436
HMDB0000243,Pyruvic acid,CC(=O)C(O)=O,LCTONWCANYUPML-UHFFFAOYSA-N,C3H4O3,88.0621,88.016043994
HMDB0000244,Riboflavin,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,AUNGANRZJHBGPY-SCRDCRAPSA-N,C17H20N4O6,376.3639,376.138284392
HMDB0000247,Sorbitol,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,FBPFZTCFMRRESA-JGWLITMVSA-N,C6H14O6,182.1718,182.07903818
HMDB0000248,Thyroxine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,XUIIKFGFIJCVMT-LBPRGKRZSA-N,C15H11I4NO4,776.87,776.686681525
HMDB0000250,Pyrophosphate,OP(O)(=O)OP(O)(O)=O,XPPKVPWEQAFLFU-UHFFFAOYSA-N,H4O7P2,177.9751,177.943225506
HMDB0000251,Taurine,NCCS(O)(=O)=O,XOAAWQZATWQOTB-UHFFFAOYSA-N,C2H7NO3S,125.147,125.014663785
HMDB0000254,Succinic acid,OC(=O)CCC(O)=O,KDYFGRWQOYBRFD-UHFFFAOYSA-N,C4H6O4,118.088,118.02660868
HMDB0000258,Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,CZMRCDWAGMRECN-UGDNZRGBSA-N,C12H22O11,342.2965,342.116211546
HMDB0000262,Thymine,CC1=CNC(=O)NC1=O,RWQNBRDOKXIBIV-UHFFFAOYSA-N,C5H6N2O2,126.1133,126.042927446
HMDB0000263,Phosphoenolpyruvic acid,OC(=O)C(=C)OP(O)(O)=O,DTBNBXWJWCWCIK-UHFFFAOYSA-N,C3H5O6P,168.042,167.982374404
HMDB0000265,Liothyronine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,AUYYCJSJGJYCDS-LBPRGKRZSA-N,C15H12I3NO4,650.9735,650.790038137
HMDB0000267,Pyroglutamic acid,OC(=O)[C@@H]1CCC(=O)N1,ODHCTXKNWHHXJC-VKHMYHEASA-N,C5H7NO3,129.114,129.042593095
HMDB0000271,Sarcosine,CNCC(O)=O,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,C3H7NO2,89.0932,89.047678473
HMDB0000273,Thymidine,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,IQFYYKKMVGJFEH-XLPZGREQSA-N,C10H14N2O5,242.2286,242.090271568
HMDB0000283,D-Ribose,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,HMFHBZSHGGEWLO-SOOFDHNKSA-N,C5H10O5,150.1299,150.05282343
HMDB0000285,Uridine triphosphate,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,PGAVKCOVUIYSFO-XVFCMESISA-N,C9H15N2O15P3,484.1411,483.968527356
HMDB0000288,Uridine 5'-monophosphate,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,DJJCXFVJDGTHFX-XVFCMESISA-N,C9H13N2O9P,324.1813,324.035866536
HMDB0000289,Uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2,LEHOTFFKMJEONL-UHFFFAOYSA-N,C5H4N4O3,168.1103,168.028340014
HMDB0000290,Uridine diphosphate-N-acetylglucosamine,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,LFTYTUAZOPRMMI-CFRASDGPSA-N,C17H27N3O17P2,607.3537,607.081569477
HMDB0000291,Vanillylmandelic acid,COC1=C(O)C=CC(=C1)[C@H](O)C(O)=O,CGQCWMIAEPEHNQ-QMMMGPOBSA-N,C9H10O5,198.1727,198.05282343
HMDB0000292,Xanthine,O=C1NC2=C(NC=N2)C(=O)N1,LRFVTYWOQMYALW-UHFFFAOYSA-N,C5H4N4O2,152.1109,152.033425392
HMDB0000294,Urea,NC(N)=O,XSQUKJJJFZCRTK-UHFFFAOYSA-N,CH4N2O,60.0553,60.03236276
HMDB0000300,Uracil,O=C1NC=CC(=O)N1,ISAKRJDGNUQOIC-UHFFFAOYSA-N,C4H4N2O2,112.0868,112.027277382
HMDB0000301,Urocanic acid,OC(=O)\C=C\C1=CNC=N1,LOIYMIARKYCTBW-OWOJBTEDSA-N,C6H6N2O2,138.124,138.042927446
HMDB0000305,Vitamin A,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,C20H30O,286.4516,286.229665582
HMDB0000306,Tyramine,NCCC1=CC=C(O)C=C1,DZGWFCGJZKJUFP-UHFFFAOYSA-N,C8H11NO,137.179,137.084063979
HMDB0000308,3b-Hydroxy-5-cholenoic acid,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,HIAJCGFYHIANNA-QIZZZRFXSA-N,C24H38O3,374.5567,374.282095082
HMDB0000317,2-Hydroxy-3-methylpentanoic acid,CC[C@@H](C)[C@@H](O)C(O)=O,RILPIWOPNGRASR-RFZPGFLSSA-N,C6H12O3,132.1577,132.07864425
HMDB0000355,3-Hydroxymethylglutaric acid,CC(O)(CC(O)=O)CC(O)=O,NPOAOTPXWNWTSH-UHFFFAOYSA-N,C6H10O5,162.1406,162.05282343
HMDB0000374,17-Hydroxyprogesterone,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,DBPWSSGDRRHUNT-CEGNMAFCSA-N,C21H30O3,330.4611,330.219494826
HMDB0000402,2-Isopropylmalic acid,CC(C)[C@@](O)(CC(O)=O)C(O)=O,BITYXLXUCSKTJS-ZETCQYMHSA-N,C7H12O5,176.1672,176.068473494
HMDB0000407,2-Hydroxy-3-methylbutyric acid,CC(C)C(O)C(O)=O,NGEWQZIDQIYUNV-UHFFFAOYSA-N,C5H10O3,118.1311,118.062994186
HMDB0000426,Citramalic acid,CC(O)(CC(O)=O)C(O)=O,XFTRTWQBIOMVPK-UHFFFAOYSA-N,C5H8O5,148.114,148.037173366
HMDB0000440,3-Hydroxyphenylacetic acid,OC(=O)CC1=CC(O)=CC=C1,FVMDYYGIDFPZAX-UHFFFAOYSA-N,C8H8O3,152.1473,152.047344122
HMDB0000448,Adipic acid,OC(=O)CCCCC(O)=O,WNLRTRBMVRJNCN-UHFFFAOYSA-N,C6H10O4,146.1412,146.057908808
HMDB0000462,Allantoin,NC(=O)NC1NC(=O)NC1=O,POJWUDADGALRAB-UHFFFAOYSA-N,C4H6N4O3,158.1154,158.043990078
HMDB0000464,Calcium,[Ca++],BHPQYMZQTOCNFJ-UHFFFAOYSA-N,Ca,40.078,39.962591155
HMDB0000466,3-Methylindole,CC1=CNC2=CC=CC=C12,ZFRKQXVRDFCRJG-UHFFFAOYSA-N,C9H9N,131.1745,131.073499293
HMDB0000474,Butanone,CCC(C)=O,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,C4H8O,72.1057,72.057514878
HMDB0000479,Methylhistidine,[H][C@](N)(CC1=CN=CN1C)C(O)=O,JDHILDINMRGULE-LURJTMIESA-N,C7H11N3O2,169.1811,169.085126611
HMDB0000482,Caprylic acid,CCCCCCCC(O)=O,WWZKQHOCKIZLMA-UHFFFAOYSA-N,C8H16O2,144.2114,144.115029756
HMDB0000484,Vanillic acid,COC1=CC(=CC=C1O)C(O)=O,WKOLLVMJNQIZCI-UHFFFAOYSA-N,C8H8O4,168.148,168.042258738
HMDB0000491,3-Methyl-2-oxovaleric acid,CC[C@H](C)C(=O)C(O)=O,JVQYSWDUAOAHFM-BYPYZUCNSA-N,C6H10O3,130.1418,130.062994186
HMDB0000492,Chloride ion,[Cl-],VEXZGXHMUGYJMC-UHFFFAOYSA-M,Cl,35.453,34.968852707
HMDB0000500,4-Hydroxybenzoic acid,OC(=O)C1=CC=C(O)C=C1,FJKROLUGYXJWQN-UHFFFAOYSA-N,C7H6O3,138.122,138.031694053
HMDB0000510,Aminoadipic acid,N[C@@H](CCCC(O)=O)C(O)=O,OYIFNHCXNCRBQI-BYPYZUCNSA-N,C6H11NO4,161.1558,161.068807845
