ID	Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	Factor7	Factor8	Factor9	Factor10
H023	-2.18232350071842	1.53248153363216	2.26244400131881	-0.459648094155046	1.03593722894741	-0.865363588259002	-0.370132582778689	-1.06967675020957	0.100070822358442	-0.86336478873346
H027	-2.38700070619772	1.77380064898558	-1.78365445642028	-1.14913681533829	-0.506115925724732	-0.48661388653041	0.267495794078462	0.279681599060026	-1.88217490463485	-0.147761269744076
H028	1.36187569772558	-2.0815645016399	2.40736617390004	1.7146813795783	-0.964430580507265	0.278310743016051	-0.0266407586521946	-0.974626975680512	0.240387409539739	-0.81125706677503
H029	0.193204620471388	0.222942926375424	2.32505480795432	1.91680078143492	-1.03016237026746	1.46516086714966	2.03395392228418	-0.717842974547275	5.27542337588532e-05	-0.538733407679935
H030	-1.81819217118048	-0.209977748364765	-1.78677218005182	2.31243205255827	0.459726494913089	1.04997904647692	-0.0788495373903982	0.00197597910651562	0.345530206080113	-0.106146964952699
H031	0.473095919637441	-2.26230424515951	2.32000734155807	1.84786670876659	0.464414032203685	-0.983908492793143	0.342676225882774	-0.83240365702664	-0.830447237559105	-0.305156753615192
H033	2.04249407463502	-0.0809915021248012	2.28606020700554	0.502478827193097	-0.195285533490894	-0.52959949174073	-0.381857439916126	0.819983614994478	0.47617915246229	-0.746303453191353
H035	1.24509667340603	-0.400390394574331	2.42574301283213	0.965793910410278	0.655409304679613	-0.493610528157231	0.364157815121035	0.55149280335632	-0.432122481794607	-0.359573441740115
H036	2.05835374731617	-0.488125403214071	2.27953693722925	0.268832243943873	0.150290026554567	0.38064870916841	-0.933195026613884	0.309692197882512	0.0493649267984516	0.022862777139592
H037	0.351897057594314	-0.205039820051594	-1.50716762878095	-1.1797448756633	-0.621423507405393	0.196237480320837	0.961818281980188	0.134797521877281	0.39523179253884	-0.201020351043726
H038	2.33643496196067	-0.350366248111835	-1.76451653075221	-1.16353165537107	0.365213263893567	0.036944069869831	-0.813537049970513	0.547538093420275	0.246182533036136	-0.254849829947689
H039	1.81088647079788	0.063379164708213	2.37851887808161	0.928856194928804	-0.338063684480553	-0.651155719362408	-0.310474217215602	0.316674047286492	-0.117259141406533	-0.374049727452977
H040	0.107702339473053	-1.10099287786097	2.47200401664997	-1.29533418988814	1.56801195761857	0.0973163878367993	0.818281616065672	0.539206453193865	-0.0138477811332572	0.184716740612889
H041	2.00803095776919	0.430443315177106	-1.79466987759315	0.669556593690264	-0.629233909159837	-0.609968461121451	-0.080505799919605	0.162217992671237	-1.01550790867677	-0.189810845416773
H042	-2.74929134136132	-0.496809089450543	2.46420755419892	-0.494118562503932	0.942118886391796	0.543004513387603	-0.0829621344058353	0.525333946224111	-0.364476755993153	-0.421409428711692
H043	-2.16472467292001	0.712815104540992	2.40061779647576	-0.203196054452663	-0.0547871391345757	-1.53468070951014	-0.379946074583522	0.281092018680106	-1.17881586241666	0.310344101544513
H044	0.131613007008293	-1.01129180395596	-1.76464575068418	0.803066570994432	1.53397558882274	1.20981212471013	1.62097930976938	0.832277015272154	-0.319743493791698	0.168135406768644
H045	-2.02818037055944	0.400332443354997	-1.75242697475798	-1.62814190896635	0.134170296900656	1.12393093773269	0.0447970651151974	0.269562710817139	-0.768778920169331	-0.783639539199213
H046	1.93397443906763	0.06419466430042	-1.77902723909908	-0.41100427409636	-0.43812680883842	0.269135995776714	-0.815481710243217	0.0251070733113211	-0.201235018636916	-0.799473428559011
H047	-2.22486171675643	0.565372964529497	-1.68701716197103	2.84491007780662	0.488305700449787	0.0934486287955393	-0.150148786355618	0.0421395047624963	-0.682517049381515	-0.485081556089477
H048	0.564996027292166	1.39289279802973	2.39114988809561	-0.736268617920051	-0.603214945856687	-0.0225690736637732	1.4014644147351	-0.319946227078787	-0.0926793471353651	1.82120323625292
H049	0.0885320631303243	-0.263567330848468	-1.79504646863044	-1.22613790903173	0.504048574691619	-1.97229781915715	1.1377329638041	0.709622086096895	0.393864521912851	-0.714877048715844
H051	-0.950759472726086	-1.44732283321254	2.57174896742141	-0.0811673347966178	-0.36632879863501	2.66723282844	-0.501679921723725	0.0187421192129872	-0.61277897132778	-0.407813047198833
H053	1.14324147230083	0.454718842161714	2.32405052089912	-0.790954369879665	0.130244184270076	-0.788330372528537	0.997272884979819	0.154775114077143	-0.149573516697742	-0.501913736805247
H054	2.08210408082579	-0.163805029651228	2.40295782872155	1.14302712137612	-0.727067156959093	-0.679842207570222	-0.11666631721189	-0.236328492292707	0.365680853371385	-0.735332129518535
H055	1.85359237048605	0.519661753395269	-1.80648707948422	0.184489565315617	-1.23219631541205	-0.515515795628745	0.215275782588452	-0.575401696131251	0.22182207140281	-0.781129455511937
H056	2.01261176524541	1.14589888557716	-1.7047545303389	1.59096110122237	-0.667212857963455	-0.492656358719958	-0.811665742070788	0.083546954155586	-0.766413691910154	0.0167860121700904
H057	1.55837168713395	0.537167265492539	-1.76351239920281	0.23775845226677	-0.0262179893586656	-0.56772352907953	0.00526874798433734	0.0823064942953567	0.561994991321859	-0.489119257507291
H058	0.532724097912698	1.22937020313308	2.47883161646061	0.905749072261075	-0.288821712719614	0.327280843788946	1.54639414411404	-0.277357901687722	0.345592169257709	-0.597407443869171
H059	1.8225193627886	-2.524679744789	-1.77496405904905	-1.04039148822706	-0.823011396927792	0.421406042092906	-0.195105049806415	-0.126132452564478	-0.391175049553457	-0.644306180481221
H060	2.22726987561438	1.21779400016635	-1.76683902124388	0.0537382549843149	-0.573185815327448	-0.170702725035149	-0.496637153851832	-0.176365682766287	0.193168729662525	-0.75169524977303
H062	0.901662747964926	-1.95952218190688	-1.86884324240484	1.88620045287357	-1.14964994978782	-0.0123942466032942	0.318650562019801	-0.278082614850512	-0.292958130727675	2.00227065817513
H063	0.535005115159233	-0.454440649767853	2.46841868290122	0.441145760003059	1.02427375046979	-0.962244612633531	0.749620317160122	-0.996403796565501	-0.379148717932707	-0.467664117516468
H065	-1.94168331923219	0.949494274039946	2.55453388338147	1.54071653334383	-0.416009399610611	-0.387364840344073	-0.381162764190697	-0.226539811428434	0.371199334522758	-0.543457372037322
H066	-2.07533171412132	0.573609195101995	-1.81791303887867	1.62684724440273	-0.535588885632608	-1.1419002638174	0.112490408039809	0.0950047399825248	1.00696177304749	-0.578397848363286
